"Story","Title","Result","Date","Stability","Duration (s)"
"Register","POST - Register without fullname","SUCCESS","2023-05-06T09:19:25.0644525+07:00[Asia/Bangkok]","0.0","0.27"
"Register","POST - Register without email","SUCCESS","2023-05-06T09:19:25.3469455+07:00[Asia/Bangkok]","0.0","0.78"
"Register","POST - Register without password","SUCCESS","2023-05-06T09:19:26.137232+07:00[Asia/Bangkok]","0.0","0.21"
"Register","POST - Register with existed account","SUCCESS","2023-05-06T09:19:26.3556481+07:00[Asia/Bangkok]","0.0","0.76"
"Register","POST - Register with invalid email","SUCCESS","2023-05-06T09:19:27.1292327+07:00[Asia/Bangkok]","0.0","0.77"
"Register","POST - Register with invalid password","FAILURE","2023-05-06T09:19:27.907861+07:00[Asia/Bangkok]","0.0","0.54"
"Register","POST - Register with invalid fullname","FAILURE","2023-05-06T09:19:28.4576865+07:00[Asia/Bangkok]","0.0","0.55"
"Login","POST - Login with valid account","SUCCESS","2023-05-06T09:19:29.0206216+07:00[Asia/Bangkok]","0.0","0.32"
"Login","POST - Login with empty email","SUCCESS","2023-05-06T09:19:34.5211184+07:00[Asia/Bangkok]","0.0","0.09"
"Login","POST - Login with empty password","SUCCESS","2023-05-06T09:19:34.6213586+07:00[Asia/Bangkok]","0.0","0.08"
"Login","POST - Login without payload","SUCCESS","2023-05-06T09:19:34.7101215+07:00[Asia/Bangkok]","0.0","0.09"
"Login","POST - Login with empty body parameter","SUCCESS","2023-05-06T09:19:34.8039351+07:00[Asia/Bangkok]","0.0","0.09"
"User Information","GET - Get user information","SUCCESS","2023-05-06T09:19:34.9016738+07:00[Asia/Bangkok]","0.0","0.1"
"User Information","GET - Get user information without token","SUCCESS","2023-05-06T09:19:35.0073913+07:00[Asia/Bangkok]","0.0","0.09"
"Categories","POST - Add new category","SUCCESS","2023-05-06T09:19:35.1053949+07:00[Asia/Bangkok]","0.0","0.1"
"Categories","POST - Add new category without description data payload","SUCCESS","2023-05-06T09:19:35.2134057+07:00[Asia/Bangkok]","0.0","0.12"
"Categories","POST - Add new category without name data payload","SUCCESS","2023-05-06T09:19:35.3390692+07:00[Asia/Bangkok]","0.0","0.1"
"Categories","GET - Get list all categories","SUCCESS","2023-05-06T09:19:35.4398002+07:00[Asia/Bangkok]","0.0","0.1"
"Categories","GET - Get categories by ID","SUCCESS","2023-05-06T09:19:35.550504+07:00[Asia/Bangkok]","0.0","0.09"
"Categories","DEL - Delete category with ID","SUCCESS","2023-05-06T09:19:35.6482424+07:00[Asia/Bangkok]","0.0","0.08"
"Categories","DEL - Delete category with invalid ID","SUCCESS","2023-05-06T09:19:35.7390002+07:00[Asia/Bangkok]","0.0","0.09"
"Product","POST - Add new product product","SUCCESS","2023-05-06T09:19:35.8337464+07:00[Asia/Bangkok]","0.0","0.1"
"Product","POST - Add new product without fill name","SUCCESS","2023-05-06T09:19:35.9414589+07:00[Asia/Bangkok]","0.0","0.1"
"Product","POST - Add new product without fill description","SUCCESS","2023-05-06T09:19:36.0431861+07:00[Asia/Bangkok]","0.0","0.09"
"Product","POST - Add new product without fill price","SUCCESS","2023-05-06T09:19:36.1409265+07:00[Asia/Bangkok]","0.0","0.09"
"Product","GET - Get product by ID","SUCCESS","2023-05-06T09:19:36.2356716+07:00[Asia/Bangkok]","0.0","0.22"
"Product","GET - Get all product","SUCCESS","2023-05-06T09:19:36.4623871+07:00[Asia/Bangkok]","0.0","0.09"
"Product","GET - Get product by invalid ID","SUCCESS","2023-05-06T09:19:36.5571335+07:00[Asia/Bangkok]","0.0","0.08"
"Order","POST - Add new orders","SUCCESS","2023-05-06T09:19:36.6468935+07:00[Asia/Bangkok]","0.0","0.09"
"Order","GET - Get all order","SUCCESS","2023-05-06T09:19:36.7396479+07:00[Asia/Bangkok]","0.0","0.08"
"Order","GET - Get all order without login","SUCCESS","2023-05-06T09:19:36.8254159+07:00[Asia/Bangkok]","0.0","0.11"
"Rating","POST - Give product rating","SUCCESS","2023-05-06T09:19:36.9392834+07:00[Asia/Bangkok]","0.0","0.12"
"Rating","POST - Give product rating out of bond","SUCCESS","2023-05-06T09:19:37.0619543+07:00[Asia/Bangkok]","0.0","0.09"
"Rating","GET - Get product rating","SUCCESS","2023-05-06T09:19:37.154705+07:00[Asia/Bangkok]","0.0","0.09"
"Rating","GET - Get product rating with invalid data","SUCCESS","2023-05-06T09:19:37.2464617+07:00[Asia/Bangkok]","0.0","0.08"
"Comment","POST - Post comment","SUCCESS","2023-05-06T09:19:37.3372187+07:00[Asia/Bangkok]","0.0","0.1"
"Comment","GET - Get comment with correct endpoints","SUCCESS","2023-05-06T09:19:37.4390647+07:00[Asia/Bangkok]","0.0","0.08"
"Comment","Get comment with incorrect endpoints","SUCCESS","2023-05-06T09:19:37.5268299+07:00[Asia/Bangkok]","0.0","0.09"
